edge_id,node1,node2,weight,community1,community2,inter_community
0db1d55f-9d34-4655-9a97-c07668a621ec,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,09524640-9b4f-4fff-957b-2a42fd6890b1,1.0,0,0,False
9cd5a9d8-0aec-4dd0-b6a8-b711bcb0833a,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,a2a55056-3eb5-464a-b0f6-6d25e947363f,1.0,0,0,False
a9a5aaf9-94f8-4573-9e0d-0133882d224e,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,187e9a8b-0a14-453a-a913-cc982f682a83,1.0,0,0,False
59ac2710-7bab-45ef-b1fa-df1246f3c0f9,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,97e0e132-0eb1-4823-af05-9f17aa2d8c30,1.0,0,0,False
1c7c4c56-7958-4545-a6a0-8c5dbe41b863,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,5bf36ec1-a703-4f90-9144-84b9ac4fcf9b,1.0,0,0,False
1d019272-aaf0-4b4b-a93f-1ab554f848a0,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,1d63ab96-31a4-4faa-a794-f734882d367d,1.0,0,0,False
6461a7c9-035c-419e-bbc8-1442b8ef3142,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,465cf5ad-c300-488d-a2c3-e3d5a08a7b08,1.0,0,0,False
be9941e2-479a-427e-b157-b6f2b47b10a3,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,39a86b7b-cbf8-41b8-9946-42d9021663b5,1.0,0,0,False
d45d4e48-f794-40d7-bd10-f8c8475e6555,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,241a28ad-a23e-47a8-b7a3-8f563ac756d4,1.0,0,0,False
6cc722fa-012f-4c93-8126-9aaa709c8066,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,b6edfea1-39fb-44a2-ae1b-bc6ca2502137,1.0,0,0,False
c4b879a8-0de3-4f30-bab2-6e6ef9b6038f,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,5d89a2eb-a2da-486c-80fd-91704f061b08,1.0,0,0,False
bd4ef55c-8618-4fb2-b463-6948af8a8a22,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,f0ab6fa3-2112-41de-80e7-7c39f846548f,1.0,0,0,False
8c2ecd5c-19f3-4971-8457-ef4ec39557c5,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,938406ff-ffd3-498c-872c-50620b5eae2b,1.0,0,0,False
10edbb3a-8ec4-4972-a91f-431c12e412c8,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,5a954d70-4fde-4b89-8760-5fae9e72a22c,1.0,0,0,False
a0b83555-4e37-40c7-baad-e482e6569628,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,5415be2a-fd17-4cf1-97ce-79cce96971be,1.0,0,0,False
ffe2c18b-6821-44ae-966e-0fcccc40c331,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,b2286b70-6a4d-4eaa-92a3-b3bb6db9606c,1.0,0,0,False
bc17c9a2-4bb1-46da-adf6-aef2c488c771,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,f288df8b-ff56-4294-b757-1e153f01f9be,1.0,0,0,False
8606e30b-add7-4807-9b8b-df5dfb07565f,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,8a7c8718-56e8-4698-8f74-123d1dc6449f,1.0,0,0,False
74f7e679-482b-4569-a997-618669d04de8,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,c086f961-15d3-4782-82f0-1accd4414a96,1.0,0,0,False
8c32a5ee-12be-419a-ad8f-0bfdcf0edac2,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,c79014b6-ec2f-4217-a0ed-4ac303aa2bc2,1.0,0,0,False
ad60dd31-6734-46f3-b47b-61370f80c4ce,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,6ebc3221-7aa8-437e-84ec-03d21c73920b,1.0,0,0,False
97b171ec-84f8-4927-8d35-b65fdad9e7e6,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,9e113df9-11c7-41a7-97c1-6830cace22b0,1.0,0,0,False
c073cecb-8f5f-4651-b657-f0d44364fbcd,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,9ef31e2d-a7eb-4f6a-80a9-67fed6ded192,1.0,0,0,False
3280f9c3-fd81-417c-a463-0892674fb4fe,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,3e3163c3-dfe4-4165-9580-66d7abdf9a74,1.0,0,0,False
8f2ad0b0-0263-4b63-85b2-664c721941a9,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,023eb228-3880-4175-8ee2-7b24b9c65e18,1.0,0,0,False
6a10492f-678b-4dcd-a030-55492b135d11,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,a6c6ca53-4d86-4e37-956f-82a8f27c61e6,1.0,0,0,False
8a423955-ee20-43db-8f08-a3194f9cc571,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,87ca3f8a-32ff-49c6-b2b5-56e04b64149d,1.0,0,0,False
b38e6ab7-3637-4fd6-971b-facb706ac1ea,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,f1a97f9a-cc5b-4246-8f3d-184407d714e7,1.0,0,0,False
64426f3d-55f7-446a-8c0f-514b40fe7f39,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,bcb3a8a4-ac0f-47bf-a72b-83e7e4e5f376,1.0,0,0,False
1169728a-7ebf-4aa6-a9be-dc4c3daac6fd,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,56245f96-ee58-47df-9660-d0eb83506e27,1.0,0,0,False
c194d555-98ca-4ef6-9d48-12da435bc796,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,f7d9a56f-4d8c-46ae-9c41-3f6ce5f1eece,1.0,0,0,False
496fac6d-27ae-446c-bb32-8ec0872d65c1,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,4c9ace91-2ebe-4b31-b3e0-30ed250c89e5,1.0,0,0,False
f3ceb6d3-ac9c-4930-ad03-e66228ec2595,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,e31e108e-5d6d-49a8-9843-c14455776493,1.0,0,0,False
c0eeb3a9-2a6e-4284-9ae9-c97e007974ed,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,e11389e1-e03e-4c2c-acbe-ff8434d4be00,1.0,0,0,False
14589b71-1c5b-45b5-bfd6-d0622de67075,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,ceba4deb-6f95-4b98-aebe-157d4a594c4e,1.0,0,0,False
2c5286be-ff96-47d3-bb68-33b05b099b60,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,a13ddb6f-5212-4c0c-968a-881595442a94,1.0,0,0,False
61c95560-11aa-420f-bd65-3c5ae4c942b8,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,778d79e2-5496-47b2-8465-691c275df34a,1.0,0,0,False
0a549a4d-0f71-4b18-8586-bde2b0da1173,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,2c450b62-26bb-4f1e-8239-92b8badc22cb,1.0,0,0,False
4e132e88-6ba5-4478-a044-1d68ded3874c,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,ec688ab4-2acb-4564-9fa5-0b1ea4419349,1.0,0,0,False
fc9bae82-16d5-41b0-864e-9d52930f9ad5,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,52d57169-67da-4d37-b253-dc491dda4629,1.0,0,0,False
9a518e2c-813c-48c5-9877-135100bacf48,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,09cdb000-43c4-45ef-88d5-57050203bbee,1.0,0,0,False
a9f09874-adec-4dfc-8edc-70bc8e55df28,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,ebf4a136-1555-4423-9456-862349d0172f,1.0,0,0,False
69e6f23f-5431-4c30-a96e-a17df5ac62b4,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,0a4a777f-f6c3-426f-afa4-4a7e402a9f99,1.0,0,0,False
4b509bbf-16e8-4965-be75-a097bdf863f6,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,dffeab8e-793c-4d49-aabc-472a3133f7b2,1.0,0,0,False
6e48b925-62d5-44d2-a100-1534f797ecce,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,edb3398b-999f-4f90-8466-3afc483c6edb,1.0,0,0,False
220d9b34-e10d-44a2-99e5-eb30b44ea2b1,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,a4b9df26-288e-48bc-8e64-c31ce7535d0e,1.0,0,0,False
3b00f837-2f57-4e12-af4f-29e70f94534a,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,00c87278-8581-41db-b79d-9e539cf6db87,1.0,0,0,False
7a4c5884-d369-46e3-88e4-0259e80ab5c8,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,bed3a02e-4e22-4293-849d-3d966c197342,1.0,0,0,False
990fbb34-5190-4ed5-b738-c1c94fab4aa2,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,e1adf4ee-3f2c-429a-8537-23ab835b132c,1.0,0,0,False
1bae6797-5f68-4436-8444-eaddf9f1ccaf,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,8b1eb6df-aafb-43d5-8600-1c686b503032,1.0,0,0,False
18b66d7d-55bd-4395-ae1b-c9cb3327474b,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,bf2f532c-e86a-4251-a144-f2fd665e6522,1.0,0,0,False
83ed82ee-9e9b-48e6-8454-aa65a9b69243,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,687928b9-1c6f-4063-bd66-eee9ea2a4e64,1.0,0,0,False
47f87aba-b4f3-45c5-9f2e-38165cde9557,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,85ba540a-fa87-4dc6-8477-6b918e371110,1.0,0,0,False
5eaa3858-4277-4737-85c0-3510484893bc,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,9dcada6a-d543-4af1-9fde-319d27908cd8,1.0,0,0,False
30d5072c-bbda-4e2b-b5d8-2fa15c3ee851,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,80dc381a-3fd5-469a-8c90-4e1278301330,1.0,0,0,False
b9a252f7-ffe0-4c16-a7a1-5a6a7467f717,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,6b22e29a-a418-4099-8e5d-d1d3ef44e6b0,1.0,0,0,False
8d4dbe43-481e-4cc3-92a8-5f81fc14e661,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,6af6070a-3c22-45f4-9231-50fe11eb9016,1.0,0,0,False
f4ec2146-e34b-478d-a0f6-d6eca709e6cc,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,da318d3a-b476-4d5e-8538-6f3b6e2e9c0d,1.0,0,0,False
4b5ba31b-dba4-4ba9-a12e-7bd2be7a2396,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,3023b9ad-dea2-4336-9c17-a88b4540a779,1.0,0,0,False
1d1329a2-395c-4b4c-b1cb-c15a8c46f9ed,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,56e75876-74f5-4776-b950-b2b025611521,1.0,0,0,False
bf91a7a3-b7b9-463e-bec0-f595f5231964,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,b71ca25e-7ecb-41ef-9bea-4458a1e772fe,1.0,0,0,False
76bab295-32d3-4458-8c16-5098dfa52e82,9f4a7136-305a-4ccb-ab4a-a0c835e3bae9,c8e6e00c-1e15-4284-8f3f-561245ba94e1,1.0,0,0,False
